Statistic,resample-0,resample-1,resample-2,resample-3,resample-4,resample-5,resample-6,resample-7,resample-8,resample-9,resample-10,resample-11,resample-12,resample-13,resample-14,resample-15,resample-16,resample-17,resample-18,resample-19,resample-20,resample-21,resample-22,resample-23,resample-24,resample-25,resample-26,resample-27,resample-28,resample-29
tlmi_kraskov_NN-4,0.525,0.575,0.55,0.525,0.5,0.55,0.575,0.575,0.575,0.525,0.45,0.475,0.65,0.475,0.575,0.45,0.6,0.475,0.625,0.625,0.55,0.575,0.6,0.55,0.6,0.625,0.475,0.7,0.525,0.55
tlmi_kraskov_NN-4_DCE,0.75,0.775,0.7,0.7,0.725,0.725,0.7,0.75,0.725,0.8,0.725,0.8,0.85,0.775,0.875,0.775,0.725,0.75,0.75,0.725,0.725,0.75,0.7,0.725,0.65,0.8,0.675,0.725,0.775,0.8
tlmi_kernel_W-0.25,0.65,0.6,0.65,0.65,0.725,0.475,0.525,0.625,0.75,0.6,0.6,0.675,0.75,0.65,0.675,0.675,0.6,0.525,0.625,0.7,0.725,0.7,0.65,0.675,0.65,0.525,0.725,0.675,0.675,0.7
te_kraskov_NN-4_k-max-10_tau-max-4,0.8,0.85,0.85,0.925,0.925,0.95,0.925,0.925,0.925,0.875,0.85,0.875,0.95,0.825,0.9,0.9,1.0,0.9,0.95,0.825,0.95,0.925,0.875,0.875,0.925,0.9,0.925,0.9,0.95,0.925
te_kraskov_NN-4_DCE_k-max-10_tau-max-4,0.825,0.775,0.825,0.85,0.875,0.9,0.9,0.85,0.925,0.8,0.825,0.9,0.9,0.85,0.875,0.875,0.875,0.85,0.9,0.775,0.95,0.9,0.85,0.775,0.825,0.875,0.95,0.95,0.925,0.925
te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,0.825,0.775,0.825,0.825,0.875,0.9,0.875,0.875,0.925,0.8,0.85,0.925,0.9,0.875,0.825,0.85,0.875,0.85,0.85,0.825,0.925,0.9,0.8,0.8,0.825,0.9,0.95,0.95,0.95,0.925
te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,0.825,0.775,0.825,0.825,0.875,0.9,0.9,0.875,0.9,0.8,0.825,0.925,0.925,0.875,0.85,0.85,0.875,0.875,0.875,0.8,0.925,0.9,0.775,0.775,0.825,0.9,0.95,0.95,0.95,0.925
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,0.8,0.875,0.85,0.95,0.925,0.95,0.9,0.925,0.925,0.875,0.825,0.875,0.95,0.85,0.875,0.925,0.95,0.9,0.95,0.85,0.95,0.95,0.875,0.875,0.9,0.9,0.95,0.95,0.95,0.925
te_kernel_W-0.25_k-1,0.675,0.65,0.725,0.75,0.775,0.725,0.825,0.675,0.7,0.725,0.775,0.725,0.825,0.8,0.775,0.825,0.675,0.725,0.85,0.85,0.75,0.775,0.675,0.75,0.85,0.75,0.725,0.825,0.775,0.825
gc_gaussian_k-max-10_tau-max-2,0.85,0.75,0.875,0.9,0.825,0.925,0.825,0.8,0.9,0.8,0.825,0.875,0.9,0.9,0.85,0.8,0.875,0.775,0.85,0.9,0.875,0.925,0.8,0.8,0.875,0.85,0.875,0.9,0.875,0.875
gc_gaussian_k-1_kt-1_l-1_lt-1,0.85,0.75,0.875,0.9,0.825,0.925,0.825,0.8,0.9,0.8,0.825,0.875,0.9,0.9,0.85,0.8,0.875,0.775,0.85,0.9,0.875,0.925,0.8,0.8,0.875,0.85,0.875,0.9,0.875,0.875
te_symbolic_k-1_kt-1_l-1_lt-1,0.85,0.75,0.875,0.9,0.825,0.925,0.825,0.8,0.9,0.8,0.825,0.875,0.9,0.9,0.85,0.8,0.875,0.775,0.85,0.9,0.875,0.925,0.8,0.8,0.875,0.85,0.875,0.9,0.875,0.875
te_symbolic_k-10_kt-1_l-1_lt-1,0.85,0.75,0.875,0.9,0.825,0.925,0.825,0.8,0.9,0.8,0.825,0.875,0.9,0.9,0.85,0.8,0.875,0.775,0.85,0.9,0.875,0.925,0.8,0.8,0.875,0.85,0.875,0.9,0.875,0.875
phi_star_t-1_norm-0,0.8,0.825,0.975,0.85,0.9,0.85,0.875,0.9,0.875,0.85,0.85,0.8,0.9,0.85,0.9,0.95,0.9,0.725,0.875,0.925,0.9,0.875,0.8,0.875,0.925,0.975,0.925,0.825,0.9,0.975
phi_star_t-1_norm-1,0.8,0.825,0.975,0.85,0.9,0.85,0.875,0.9,0.875,0.85,0.85,0.8,0.9,0.85,0.9,0.95,0.925,0.725,0.875,0.925,0.925,0.875,0.8,0.85,0.925,0.975,0.925,0.825,0.9,0.975
phi_Geo_t-1_norm-0,0.825,0.8,0.85,0.825,0.75,0.825,0.825,0.825,0.875,0.75,0.8,0.775,0.9,0.825,0.85,0.85,0.8,0.75,0.95,0.875,0.825,0.85,0.825,0.8,0.925,0.95,0.875,0.875,0.875,0.85
phi_Geo_t-1_norm-1,0.825,0.8,0.85,0.825,0.75,0.825,0.825,0.825,0.875,0.725,0.8,0.775,0.9,0.825,0.85,0.85,0.8,0.725,0.95,0.875,0.825,0.85,0.825,0.8,0.925,0.95,0.875,0.875,0.875,0.85
coint_johansen_max_eig_stat_order-0_ardiff-10,0.4,0.475,0.35,0.35,0.325,0.425,0.35,0.475,0.375,0.425,0.45,0.4,0.475,0.35,0.4,0.325,0.475,0.3,0.525,0.5,0.3,0.475,0.475,0.475,0.425,0.425,0.425,0.425,0.35,0.5
coint_johansen_trace_stat_order-0_ardiff-10,0.35,0.375,0.325,0.325,0.35,0.55,0.45,0.425,0.45,0.375,0.375,0.45,0.425,0.4,0.425,0.275,0.425,0.375,0.575,0.375,0.4,0.425,0.35,0.45,0.375,0.375,0.35,0.45,0.375,0.275
coint_johansen_max_eig_stat_order-0_ardiff-1,0.7,0.725,0.8,0.8,0.775,0.725,0.8,0.7,0.85,0.725,0.7,0.7,0.875,0.575,0.775,0.825,0.75,0.7,0.75,0.65,0.8,0.675,0.575,0.7,0.725,0.75,0.75,0.725,0.8,0.725
coint_johansen_trace_stat_order-0_ardiff-1,0.75,0.675,0.825,0.8,0.775,0.65,0.825,0.8,0.75,0.85,0.775,0.725,0.775,0.65,0.775,0.8,0.8,0.575,0.75,0.7,0.775,0.8,0.725,0.675,0.7,0.825,0.7,0.7,0.8,0.725
coint_johansen_max_eig_stat_order-1_ardiff-10,0.375,0.45,0.375,0.375,0.35,0.5,0.45,0.375,0.375,0.375,0.35,0.45,0.425,0.475,0.4,0.475,0.35,0.275,0.5,0.3,0.35,0.325,0.425,0.5,0.475,0.5,0.425,0.575,0.525,0.35
coint_johansen_trace_stat_order-1_ardiff-10,0.4,0.5,0.475,0.45,0.425,0.5,0.45,0.475,0.35,0.35,0.375,0.5,0.325,0.4,0.425,0.425,0.375,0.325,0.525,0.375,0.3,0.425,0.35,0.45,0.575,0.6,0.425,0.5,0.55,0.625
coint_johansen_max_eig_stat_order-1_ardiff-1,0.65,0.75,0.8,0.775,0.775,0.775,0.775,0.65,0.775,0.75,0.7,0.7,0.85,0.575,0.7,0.825,0.775,0.65,0.775,0.725,0.775,0.675,0.625,0.725,0.75,0.8,0.7,0.675,0.825,0.725
coint_johansen_trace_stat_order-1_ardiff-1,0.675,0.725,0.825,0.825,0.825,0.75,0.825,0.7,0.825,0.9,0.825,0.775,0.8,0.675,0.725,0.825,0.8,0.675,0.825,0.7,0.75,0.85,0.7,0.65,0.75,0.775,0.85,0.725,0.8,0.7
coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.7,0.625,0.575,0.575,0.475,0.575,0.575,0.45,0.45,0.625,0.55,0.575,0.55,0.45,0.5,0.55,0.525,0.425,0.55,0.5,0.325,0.55,0.5,0.575,0.5,0.525,0.6,0.5,0.65,0.575
coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.45,0.525,0.425,0.525,0.5,0.425,0.525,0.55,0.45,0.5,0.55,0.525,0.5,0.375,0.525,0.525,0.475,0.375,0.5,0.5,0.375,0.4,0.5,0.4,0.575,0.475,0.55,0.45,0.475,0.45
coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.525,0.525,0.375,0.55,0.35,0.475,0.575,0.5,0.55,0.325,0.425,0.45,0.575,0.2,0.45,0.425,0.475,0.35,0.525,0.5,0.575,0.55,0.475,0.6,0.475,0.575,0.55,0.475,0.625,0.525
ccm_E-None_mean,0.9,0.875,0.875,0.9,0.85,0.95,0.825,0.85,0.875,0.925,0.775,0.85,0.95,0.75,0.85,0.95,0.85,0.875,0.875,0.9,0.825,0.925,0.825,0.9,0.925,0.9,0.875,0.85,0.95,0.825
ccm_E-None_max,0.875,0.875,0.875,0.9,0.875,0.95,0.825,0.875,0.85,0.925,0.75,0.85,0.925,0.725,0.85,0.925,0.85,0.85,0.9,0.875,0.8,0.9,0.825,0.9,0.95,0.875,0.875,0.85,0.95,0.875
ccm_E-1_mean,0.875,0.775,0.875,0.875,0.825,0.825,0.8,0.85,0.875,0.775,0.775,0.725,0.825,0.825,0.775,0.85,0.75,0.8,0.8,0.775,0.775,0.8,0.775,0.875,0.75,0.9,0.8,0.9,0.775,0.8
ccm_E-1_max,0.825,0.625,0.7,0.7,0.75,0.75,0.725,0.775,0.75,0.675,0.725,0.675,0.75,0.675,0.55,0.75,0.6,0.8,0.7,0.8,0.675,0.7,0.725,0.775,0.675,0.825,0.7,0.825,0.675,0.775
ccm_E-10_mean,0.9,0.875,0.875,0.9,0.85,0.95,0.825,0.85,0.875,0.925,0.775,0.85,0.95,0.75,0.85,0.95,0.85,0.875,0.875,0.9,0.825,0.925,0.825,0.9,0.925,0.9,0.875,0.85,0.95,0.825
ccm_E-10_max,0.875,0.875,0.875,0.875,0.875,0.95,0.825,0.85,0.85,0.925,0.75,0.85,0.925,0.725,0.85,0.925,0.85,0.875,0.9,0.9,0.825,0.9,0.825,0.9,0.925,0.875,0.875,0.85,0.95,0.875
mgcx_maxlag-1,0.625,0.525,0.6,0.725,0.65,0.55,0.525,0.625,0.675,0.65,0.525,0.675,0.75,0.475,0.6,0.6,0.575,0.6,0.85,0.7,0.575,0.55,0.625,0.6,0.6,0.65,0.55,0.775,0.75,0.6
mgcx_maxlag-10,0.825,0.775,0.75,0.8,0.8,0.8,0.825,0.75,0.8,0.825,0.675,0.65,0.875,0.775,0.825,0.75,0.8,0.75,0.825,0.85,0.775,0.875,0.75,0.775,0.75,0.875,0.725,0.85,0.75,0.725
dcorrx_maxlag-1,0.9,0.8,0.925,0.875,0.8,0.9,0.9,0.85,0.925,0.95,0.8,0.75,0.9,0.875,0.875,0.95,0.9,0.825,0.9,0.925,0.825,0.925,0.925,0.95,0.85,0.9,0.875,0.875,0.875,0.875
dcorrx_maxlag-10,0.875,0.875,0.925,0.9,0.875,0.9,0.85,0.775,0.9,0.95,0.875,0.875,0.95,0.775,0.825,0.9,0.95,0.825,0.875,0.95,0.925,0.95,0.75,0.85,0.9,0.95,0.775,0.85,0.95,0.95
dtw,0.875,0.8,0.85,0.825,0.875,0.8,0.875,0.725,0.75,0.85,0.8,0.8,0.9,0.85,0.775,0.85,0.825,0.775,0.725,0.825,0.85,0.8,0.675,0.875,0.85,0.85,0.85,0.775,0.85,0.85
dtw_constraint-itakura,0.775,0.7,0.725,0.725,0.775,0.825,0.8,0.7,0.85,0.8,0.725,0.8,0.825,0.9,0.8,0.775,0.775,0.775,0.75,0.775,0.875,0.85,0.65,0.775,0.825,0.825,0.875,0.725,0.85,0.875
dtw_constraint-sakoe-chiba,0.85,0.875,0.875,0.825,0.875,0.8,0.9,0.8,0.9,0.925,0.775,0.8,0.9,0.825,0.775,0.9,0.975,0.875,0.85,0.95,0.775,0.85,0.7,0.875,0.875,0.925,0.875,0.875,0.875,0.85
softdtw,0.75,0.725,0.8,0.775,0.825,0.75,0.775,0.675,0.725,0.875,0.75,0.725,0.75,0.8,0.775,0.775,0.8,0.675,0.775,0.75,0.775,0.75,0.8,0.75,0.725,0.75,0.7,0.775,0.7,0.725
softdtw_constraint-itakura,0.75,0.725,0.8,0.775,0.825,0.75,0.775,0.675,0.725,0.875,0.75,0.725,0.75,0.8,0.775,0.775,0.8,0.675,0.775,0.75,0.775,0.75,0.8,0.75,0.725,0.75,0.7,0.775,0.7,0.725
softdtw_constraint-sakoe-chiba,0.75,0.725,0.8,0.775,0.825,0.75,0.775,0.675,0.725,0.875,0.75,0.725,0.75,0.8,0.775,0.775,0.8,0.675,0.775,0.75,0.775,0.75,0.8,0.75,0.725,0.75,0.7,0.775,0.7,0.725
lcss,0.85,0.725,0.825,0.875,0.875,0.825,0.8,0.85,0.725,0.85,0.8,0.875,0.825,0.725,0.85,0.9,0.85,0.8,0.7,0.9,0.85,0.8,0.75,0.875,0.825,0.925,0.8,0.75,0.875,0.8
lcss_constraint-itakura,0.325,0.475,0.275,0.475,0.35,0.35,0.375,0.375,0.4,0.325,0.35,0.4,0.4,0.425,0.375,0.325,0.325,0.45,0.325,0.4,0.4,0.425,0.225,0.3,0.35,0.375,0.3,0.35,0.5,0.475
lcss_constraint-sakoe-chiba,0.925,0.925,0.9,0.9,0.9,0.85,0.875,0.875,0.9,0.9,0.875,0.875,0.9,0.85,0.925,0.975,0.8,0.925,0.925,0.85,0.9,0.95,0.775,0.8,0.875,0.95,0.975,0.875,0.95,0.875
bary_euclidean_max,0.775,0.65,0.675,0.6,0.7,0.775,0.75,0.65,0.75,0.775,0.625,0.7,0.8,0.625,0.625,0.6,0.75,0.6,0.775,0.8,0.6,0.725,0.725,0.7,0.7,0.85,0.65,0.6,0.825,0.7
bary_dtw_mean,0.5,0.525,0.525,0.5,0.575,0.525,0.35,0.475,0.575,0.5,0.45,0.4,0.4,0.525,0.425,0.525,0.4,0.325,0.55,0.425,0.475,0.5,0.4,0.45,0.425,0.425,0.5,0.45,0.55,0.45
bary_dtw_max,0.55,0.575,0.75,0.8,0.75,0.875,0.775,0.65,0.65,0.625,0.55,0.8,0.7,0.75,0.6,0.725,0.575,0.75,0.675,0.7,0.625,0.775,0.6,0.725,0.725,0.75,0.775,0.75,0.725,0.675
bary_sgddtw_mean,0.575,0.55,0.675,0.55,0.475,0.6,0.6,0.475,0.475,0.475,0.425,0.575,0.35,0.6,0.525,0.55,0.425,0.35,0.475,0.4,0.525,0.475,0.35,0.4,0.575,0.5,0.425,0.4,0.525,0.575
bary_sgddtw_max,0.8,0.625,0.65,0.575,0.7,0.75,0.725,0.5,0.8,0.65,0.575,0.725,0.775,0.6,0.6,0.55,0.75,0.725,0.7,0.7,0.475,0.75,0.575,0.675,0.675,0.7,0.6,0.675,0.775,0.75
bary_softdtw_mean,0.575,0.55,0.575,0.55,0.425,0.475,0.375,0.575,0.5,0.375,0.55,0.5,0.625,0.625,0.45,0.6,0.625,0.55,0.525,0.45,0.525,0.475,0.475,0.55,0.425,0.65,0.475,0.55,0.525,0.65
